partition,pair_key,near_pair_count,connected_near_pair_count,expected_connected,syn_count_sum,connected_syn_count_sum,fraction_connected,oe_ratio,log2_oe,fraction_delta_vs_global_distance,direction
super_class,central | motor,72415,11955,15344.714179536211,184380.0,184380.0,0.16509010564109647,0.7790956455834966,-0.3601143148888387,-0.046809558510477266,depleted
super_class,descending | motor,26368,4254,5385.916295222678,42483.0,42483.0,0.16133191747572814,0.7898377484576411,-0.34033614188446726,-0.0429276507593552,depleted
super_class,central | descending,1788509,263615,310323.5164835585,1827919.0,1827919.0,0.14739372292786898,0.8494844444506248,-0.23534015364616384,-0.02611589680765292,depleted
super_class,descending | descending,178985,32412,36177.45428336668,249315.0,249315.0,0.18108780065368607,0.8959171020195879,-0.15856053063172587,-0.021037820394819,depleted
super_class,optic | visual_projection,10277511,1645391,1768781.175446542,5113554.0,5113554.0,0.16009625287679088,0.9302399996339902,-0.10432508828509457,-0.012005842216713948,depleted
super_class,visual_centrifugal | visual_centrifugal,32022,5827,6214.599319595539,34713.0,34713.0,0.1819686465554931,0.9376308431706318,-0.09290034691043188,-0.012104157129334173,depleted
super_class,central | central,25631728,3916232,4056114.1986105978,18312765.0,18312765.0,0.1527884503143916,0.9655132494399409,-0.050632031565138444,-0.005457384637141818,depleted
super_class,central | optic,48874,5981,5976.66932055686,17063.0,17063.0,0.12237590538936859,1.000724597465723,0.0010449072320578429,8.86090650067535e-05,depleted
super_class,optic | optic,29220002,5161116,5108421.881846204,20143620.0,20143620.0,0.17662955669886676,1.0103151461199895,0.014805379482312898,0.001803357787374402,depleted
super_class,sensory | visual_centrifugal,13807,964,851.1758413923382,1955.0,1955.0,0.0698196566958789,1.1325509408527221,0.17947681134848587,0.008171518693971308,depleted
super_class,visual_centrifugal | visual_projection,422307,88586,69290.21924752838,427656.0,427656.0,0.20976682839735075,1.2784776980361467,0.3544247265990428,0.045691359017188016,depleted
super_class,optic | sensory,530055,57763,43299.045285970155,339125.0,339125.0,0.10897548367622228,1.3340478899361896,0.41580628606065717,0.027287648855363774,depleted
super_class,optic | visual_centrifugal,1558307,278490,191123.37048016777,1025243.0,1025243.0,0.1787131803938505,1.4571216450418238,0.5431201390558333,0.05606509469561019,depleted
super_class,descending | visual_projection,97354,21952,14679.524631365752,151783.0,151783.0,0.225486369332539,1.495416272070224,0.580530857610985,0.07470135144559287,depleted
super_class,central | visual_projection,2241202,441549,294499.4067573124,2417460.0,2417460.0,0.1970143699675442,1.4993205075073937,0.5843080032935415,0.06561193200911278,depleted
super_class,central | sensory,870460,194897,118929.8649314305,932186.0,932186.0,0.22390115571077362,1.6387557499738916,0.7125984783654731,0.08727240202716897,depleted
super_class,ascending | descending,166416,35462,21153.952345662114,233285.0,233285.0,0.21309249110662437,1.6763770391716861,0.7453329083482438,0.08597759623075837,depleted
super_class,descending | sensory,123455,26456,15544.5348365588,103900.0,103900.0,0.2142967073022559,1.70194864485612,0.7671683665421183,0.08838414939403993,depleted
super_class,ascending | central,747612,153866,90225.15931605187,945867.0,945867.0,0.20580996559712791,1.7053558139035156,0.7700694749096275,0.08512549381757935,depleted
super_class,ascending | ascending,52792,10449,5912.561128449416,41860.0,41860.0,0.19792771632065465,1.7672544558943573,0.8214568154996945,0.08593042263128095,depleted
super_class,sensory | visual_projection,22302,3689,2013.0689921609755,10057.0,10057.0,0.16541117388575016,1.8325253701513515,0.8736704108232761,0.07514711720200092,depleted
super_class,descending | sensory_ascending,11373,1611,864.1650598031281,5406.0,5406.0,0.14165127934581906,1.8642271886889457,0.8981908905809054,0.06566736482870587,depleted
super_class,central | sensory_ascending,46781,7542,4040.0673477281593,32224.0,32224.0,0.16121929843312455,1.8668005631740454,0.9004849111952722,0.07485801184822558,depleted
super_class,ascending | visual_centrifugal,19359,3953,1999.080974872137,23329.0,23329.0,0.20419443153055428,1.9774086441159981,0.9834327190554042,0.10093078284662757,depleted
super_class,ascending | sensory,81435,21991,10898.989945903604,71457.0,71457.0,0.2700435930496715,2.0177099079043868,1.0126853871219883,0.1362069141535752,depleted
super_class,ascending | visual_projection,16685,3343,1605.0506067436447,16593.0,16593.0,0.20035960443512138,2.0828003714987764,1.0582909779808034,0.10416238497191221,depleted
